DIPUTACIONES LOCALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040049B0100,'040049B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0049,1,B,0,1,3,,,,,1,2,1,22,1,22,41,19,45,27,40,6,4,31,47,,,,573,,,,,,,,,,,
'040049C0100,'040049C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0049,1,C,0,1,3,,,,,1,2,1,14,41,26,22,10,49,27,16,11,13,43,20,,,,572,,,,,,,,,,,
'040050B0100,'040050B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0050,1,B,0,1,3,,,,,1,2,1,22,40,26,14,17,2,32,37,38,47,43,30,,,,643,,,,,,,,,,,
'040051B0100,'040051B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0051,1,B,0,1,3,,,,,1,2,1,44,7,19,47,35,1,14,30,19,44,4,5,,,,500,,,,,,,,,,,
'040051C0100,'040051C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0051,1,C,0,1,3,,,,,1,2,1,10,14,5,26,6,41,31,23,42,39,41,47,,,,499,,,,,,,,,,,
'040051S0100,'040051S010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0051,1,S,0,1,3,,,,,1,2,1,6,19,16,11,45,3,23,8,14,39,35,34,,,,0,,,,,,,,,,,
'040052B0100,'040052B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0052,1,B,0,1,3,,,,,1,2,1,28,43,44,32,24,24,12,37,45,8,6,31,,,,675,,,,,,,,,,,
'040053B0100,'040053B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0053,1,B,0,1,3,,,,,1,2,1,18,30,49,5,21,12,22,23,41,18,5,42,,,,518,,,,,,,,,,,
'040053C0100,'040053C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0053,1,C,0,1,3,,,,,1,2,1,16,15,39,21,48,41,17,34,48,17,39,23,,,,517,,,,,,,,,,,
'040054B0100,'040054B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0054,1,B,0,1,3,,,,,1,2,1,21,12,40,20,33,17,3,3,46,34,4,21,,,,410,,,,,,,,,,,
'040054C0100,'040054C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0054,1,C,0,1,3,,,,,1,2,1,46,37,44,46,23,21,15,11,13,36,17,41,,,,410,,,,,,,,,,,
'040055B0100,'040055B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0055,1,B,0,1,3,,,,,1,2,1,40,5,10,24,1,5,3,44,39,36,6,3,,,,666,,,,,,,,,,,
'040055C0100,'040055C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0055,1,C,0,1,3,,,,,1,2,1,2,17,11,49,42,8,29,16,3,3,32,29,,,,666,,,,,,,,,,,
'040056B0100,'040056B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0056,1,B,0,1,3,,,,,1,2,1,46,24,17,17,43,33,31,13,45,31,43,11,,,,464,,,,,,,,,,,
'040056C0100,'040056C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0056,1,C,0,1,3,,,,,1,2,1,8,44,10,14,30,8,45,28,8,5,8,16,,,,463,,,,,,,,,,,
'040057B0100,'040057B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0057,1,B,0,1,3,,,,,1,2,1,33,11,25,30,13,47,2,24,5,9,14,48,,,,552,,,,,,,,,,,
'040057C0100,'040057C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0057,1,C,0,1,3,,,,,1,2,1,37,19,20,5,12,11,35,11,24,2,15,42,,,,551,,,,,,,,,,,
'040058B0100,'040058B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0058,1,B,0,1,3,,,,,1,2,1,13,24,23,21,2,38,45,14,14,37,27,48,,,,563,,,,,,,,,,,
'040058C0100,'040058C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0058,1,C,0,1,3,,,,,1,2,1,10,29,6,12,18,16,4,42,17,36,39,2,,,,563,,,,,,,,,,,
'040059B0100,'040059B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0059,1,B,0,1,3,,,,,1,2,1,17,34,22,26,9,10,18,20,40,30,18,26,,,,553,,,,,,,,,,,
'040059C0100,'040059C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0059,1,C,0,1,3,,,,,1,2,1,2,1,44,21,29,17,33,20,30,35,26,30,,,,553,,,,,,,,,,,
'040060B0100,'040060B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0060,1,B,0,1,3,,,,,1,2,1,48,1,20,5,14,42,42,39,14,20,47,30,,,,485,,,,,,,,,,,
'040060C0100,'040060C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0060,1,C,0,1,3,,,,,1,2,1,16,45,39,15,49,16,19,15,37,34,23,9,,,,484,,,,,,,,,,,
'040061B0100,'040061B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0061,1,B,0,1,3,,,,,1,2,1,25,17,10,12,29,48,9,5,37,36,25,26,,,,442,,,,,,,,,,,
'040061C0100,'040061C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0061,1,C,0,1,3,,,,,1,2,1,38,41,35,26,21,4,36,33,26,8,38,14,,,,441,,,,,,,,,,,
'040062B0100,'040062B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0062,1,B,0,1,3,,,,,1,2,1,35,3,2,26,4,44,34,40,46,12,7,47,,,,519,,,,,,,,,,,
'040062C0100,'040062C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0062,1,C,0,1,3,,,,,1,2,1,35,45,14,46,37,11,2,40,43,49,1,6,,,,518,,,,,,,,,,,
'040063B0100,'040063B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0063,1,B,0,1,3,,,,,1,2,1,38,18,27,25,32,11,4,22,28,18,9,4,,,,671,,,,,,,,,,,
'040063C0100,'040063C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0063,1,C,0,1,3,,,,,1,2,1,16,45,45,35,21,12,37,31,17,17,14,22,,,,671,,,,,,,,,,,
'040064B0100,'040064B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0064,1,B,0,1,3,,,,,1,2,1,26,46,27,18,47,19,41,11,9,5,13,12,,,,593,,,,,,,,,,,
'040064C0100,'040064C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0064,1,C,0,1,3,,,,,1,2,1,23,39,5,22,34,13,41,9,17,33,25,22,,,,593,,,,,,,,,,,
'040065B0100,'040065B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0065,1,B,0,1,3,,,,,1,2,1,27,14,1,15,38,35,22,44,26,33,19,39,,,,590,,,,,,,,,,,
'040065C0100,'040065C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0065,1,C,0,1,3,,,,,1,2,1,49,30,16,42,32,6,21,38,35,1,37,49,,,,590,,,,,,,,,,,
'040065C0200,'040065C020003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0065,2,C,0,1,3,,,,,1,2,1,16,46,39,13,48,47,35,21,35,32,20,28,,,,590,,,,,,,,,,,
'040066B0100,'040066B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0066,1,B,0,1,3,,,,,1,2,1,39,47,49,20,25,13,32,8,32,43,46,37,,,,547,,,,,,,,,,,
'040066C0100,'040066C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0066,1,C,0,1,3,,,,,1,2,1,13,28,25,18,9,7,26,28,5,18,46,15,,,,547,,,,,,,,,,,
'040067B0100,'040067B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0067,1,B,0,1,3,,,,,1,2,1,12,24,32,16,5,36,39,12,30,30,19,24,,,,514,,,,,,,,,,,
'040067C0100,'040067C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0067,1,C,0,1,3,,,,,1,2,1,11,23,5,31,33,12,44,20,7,44,2,2,,,,514,,,,,,,,,,,
'040068B0100,'040068B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0068,1,B,0,1,3,,,,,1,2,1,12,31,1,47,8,3,43,12,43,9,17,4,,,,624,,,,,,,,,,,
'040068C0100,'040068C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0068,1,C,0,1,3,,,,,1,2,1,34,13,5,8,25,20,41,22,10,17,2,14,,,,624,,,,,,,,,,,
'040069B0100,'040069B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0069,1,B,0,1,3,,,,,1,2,1,44,14,27,11,7,7,15,37,13,30,30,21,,,,505,,,,,,,,,,,
'040069C0100,'040069C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0069,1,C,0,1,3,,,,,1,2,1,45,1,15,28,36,4,20,41,47,37,49,2,,,,505,,,,,,,,,,,
'040070B0100,'040070B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0070,1,B,0,1,3,,,,,1,2,1,20,30,35,49,36,44,8,31,8,15,32,43,,,,605,,,,,,,,,,,
'040070C0100,'040070C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0070,1,C,0,1,3,,,,,1,2,1,9,33,40,5,25,10,34,32,28,34,24,48,,,,605,,,,,,,,,,,
'040071B0100,'040071B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0071,1,B,0,1,3,,,,,1,2,1,17,38,16,40,37,46,47,1,6,2,2,11,,,,498,,,,,,,,,,,
'040071C0100,'040071C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0071,1,C,0,1,3,,,,,1,2,1,30,7,49,34,2,37,40,35,35,23,7,30,,,,497,,,,,,,,,,,
'040072B0100,'040072B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0072,1,B,0,1,3,,,,,1,2,1,42,5,10,41,35,22,48,7,7,8,3,32,,,,635,,,,,,,,,,,
'040072C0100,'040072C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0072,1,C,0,1,3,,,,,1,2,1,48,13,27,19,39,28,14,7,47,16,42,20,,,,635,,,,,,,,,,,
'040073B0100,'040073B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0073,1,B,0,1,3,,,,,1,2,1,12,24,44,6,19,42,47,17,20,2,11,46,,,,577,,,,,,,,,,,
'040073C0100,'040073C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0073,1,C,0,1,3,,,,,1,2,1,40,6,33,33,19,19,1,47,37,13,19,12,,,,576,,,,,,,,,,,
'040074B0100,'040074B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0074,1,B,0,1,3,,,,,1,2,1,31,48,47,11,15,15,6,1,13,23,34,12,,,,639,,,,,,,,,,,
'040074C0100,'040074C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0074,1,C,0,1,3,,,,,1,2,1,38,45,18,46,22,23,31,21,34,14,33,28,,,,639,,,,,,,,,,,
'040075B0100,'040075B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0075,1,B,0,1,3,,,,,1,2,1,11,17,19,27,35,36,40,38,4,9,6,32,,,,697,,,,,,,,,,,
'040075C0100,'040075C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0075,1,C,0,1,3,,,,,1,2,1,46,30,3,16,18,39,12,49,13,34,22,15,,,,696,,,,,,,,,,,
'040075C0200,'040075C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0075,2,C,0,1,3,,,,,1,2,1,49,5,15,33,13,39,33,8,27,42,26,39,,,,696,,,,,,,,,,,
'040076B0100,'040076B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0076,1,B,0,1,3,,,,,1,2,1,47,1,37,44,37,34,18,11,32,3,42,30,,,,495,,,,,,,,,,,
'040076C0100,'040076C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0076,1,C,0,1,3,,,,,1,2,1,3,29,5,23,35,41,9,35,26,10,9,6,,,,495,,,,,,,,,,,
'040077B0100,'040077B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0077,1,B,0,1,3,,,,,1,2,1,32,40,33,24,15,6,41,14,47,44,1,26,,,,476,,,,,,,,,,,
'040077C0100,'040077C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0077,1,C,0,1,3,,,,,1,2,1,9,2,30,29,3,10,25,2,25,4,14,35,,,,476,,,,,,,,,,,
'040078B0100,'040078B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0078,1,B,0,1,3,,,,,1,2,1,9,10,45,8,26,43,21,23,30,3,31,21,,,,462,,,,,,,,,,,
'040078C0100,'040078C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0078,1,C,0,1,3,,,,,1,2,1,41,16,22,11,6,46,42,44,13,45,1,33,,,,462,,,,,,,,,,,
'040079B0100,'040079B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,1,B,0,1,3,,,,,1,2,1,39,14,22,32,26,40,25,49,12,8,34,1,,,,666,,,,,,,,,,,
'040079C0100,'040079C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,1,C,0,1,3,,,,,1,2,1,16,49,24,19,45,45,28,26,7,11,41,43,,,,666,,,,,,,,,,,
'040079C0200,'040079C020003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,2,C,0,1,3,,,,,1,2,1,31,40,6,11,21,30,2,23,20,47,2,37,,,,665,,,,,,,,,,,
'040079C0300,'040079C030003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,3,C,0,1,3,,,,,1,2,1,9,3,30,24,7,39,40,4,37,34,12,45,,,,665,,,,,,,,,,,
'040079C0400,'040079C040003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,4,C,0,1,3,,,,,1,2,1,34,19,5,14,40,37,11,40,18,25,27,19,,,,665,,,,,,,,,,,
'040079C0500,'040079C050003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,5,C,0,1,3,,,,,1,2,1,21,15,49,5,28,6,47,46,4,17,39,20,,,,665,,,,,,,,,,,
'040079C0600,'040079C060003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,6,C,0,1,3,,,,,1,2,1,9,3,14,7,34,44,3,34,12,38,35,16,,,,665,,,,,,,,,,,
'040079C0700,'040079C070003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,7,C,0,1,3,,,,,1,2,1,10,5,9,16,12,11,19,14,35,6,45,33,,,,665,,,,,,,,,,,
'040079E0100,'040079E010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,1,E,0,1,3,,,,,1,2,1,18,17,46,47,18,39,4,33,1,31,27,43,,,,556,,,,,,,,,,,
'040079E0101,'040079E010103,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,1,E,1,1,3,,,,,1,2,1,26,36,16,49,29,4,9,29,28,47,20,3,,,,556,,,,,,,,,,,
'040079E0102,'040079E010203,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0079,1,E,2,1,3,,,,,1,2,1,24,49,13,49,41,46,16,4,1,13,10,45,,,,555,,,,,,,,,,,
'040080B0100,'040080B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0080,1,B,0,1,3,,,,,1,2,1,38,16,23,16,43,32,19,11,46,25,38,6,,,,412,,,,,,,,,,,
'040080C0100,'040080C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0080,1,C,0,1,3,,,,,1,2,1,40,15,30,18,1,41,10,43,36,19,32,19,,,,412,,,,,,,,,,,
'040081B0100,'040081B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,B,0,1,3,,,,,1,2,1,22,14,20,11,36,22,41,43,23,14,10,22,,,,677,,,,,,,,,,,
'040081C0100,'040081C010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,C,0,1,3,,,,,1,2,1,7,48,45,38,13,3,26,34,30,22,24,9,,,,677,,,,,,,,,,,
'040081C0200,'040081C020003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,2,C,0,1,3,,,,,1,2,1,39,12,47,36,39,4,32,8,33,16,49,18,,,,677,,,,,,,,,,,
'040081C0300,'040081C030003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,3,C,0,1,3,,,,,1,2,1,34,37,41,38,26,15,41,4,26,43,28,43,,,,677,,,,,,,,,,,
'040081C0400,'040081C040003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,4,C,0,1,3,,,,,1,2,1,46,25,33,34,39,37,18,20,18,18,49,14,,,,677,,,,,,,,,,,
'040081C0500,'040081C050003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,5,C,0,1,3,,,,,1,2,1,43,41,21,28,14,35,30,38,45,26,29,45,,,,677,,,,,,,,,,,
'040081C0600,'040081C060003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,6,C,0,1,3,,,,,1,2,1,43,14,9,34,28,13,16,10,29,47,31,20,,,,677,,,,,,,,,,,
'040081C0700,'040081C070003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,7,C,0,1,3,,,,,1,2,1,49,35,27,25,18,24,13,47,26,3,44,23,,,,677,,,,,,,,,,,
'040081C0800,'040081C080003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,8,C,0,1,3,,,,,1,2,1,39,3,12,30,21,18,22,2,37,22,48,47,,,,676,,,,,,,,,,,
'040081C0900,'040081C090003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,9,C,0,1,3,,,,,1,2,1,1,16,36,42,4,15,10,47,13,14,40,48,,,,676,,,,,,,,,,,
'040081E0100,'040081E010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,0,1,3,,,,,1,2,1,19,32,17,44,27,17,2,35,34,25,26,10,,,,675,,,,,,,,,,,
'040081E0101,'040081E010103,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,1,1,3,,,,,1,2,1,33,32,11,25,5,32,2,19,19,39,4,44,,,,675,,,,,,,,,,,
'040081E0102,'040081E010203,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,2,1,3,,,,,1,2,1,34,1,39,25,29,24,9,33,46,29,39,48,,,,675,,,,,,,,,,,
'040081E0103,'040081E010303,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,3,1,3,,,,,1,2,1,25,45,23,9,1,49,4,35,4,1,25,41,,,,675,,,,,,,,,,,
'040081E0104,'040081E010403,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,4,1,3,,,,,1,2,1,48,21,37,33,16,2,7,18,47,14,48,30,,,,675,,,,,,,,,,,
'040081E0105,'040081E010503,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,5,1,3,,,,,1,2,1,14,27,48,28,6,40,20,13,10,13,2,1,,,,675,,,,,,,,,,,
'040081E0106,'040081E010603,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,6,1,3,,,,,1,2,1,29,25,40,13,37,18,13,46,30,49,46,49,,,,675,,,,,,,,,,,
'040081E0107,'040081E010703,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,7,1,3,,,,,1,2,1,28,38,48,47,44,16,10,33,16,46,36,32,,,,675,,,,,,,,,,,
'040081E0108,'040081E010803,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0081,1,E,8,1,3,,,,,1,2,1,31,40,1,6,4,21,41,17,33,32,6,13,,,,674,,,,,,,,,,,
'040082B0100,'040082B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0082,1,B,0,1,3,,,,,1,2,1,10,18,12,1,34,43,44,38,2,32,8,16,,,,607,,,,,,,,,,,
'040082C0100,'040082C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0082,1,C,0,1,3,,,,,1,2,1,30,29,19,6,29,9,19,48,3,44,39,14,,,,607,,,,,,,,,,,
'040083B0100,'040083B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,1,B,0,1,3,,,,,1,2,1,14,20,24,16,26,35,5,45,11,46,9,39,,,,716,,,,,,,,,,,
'040083C0100,'040083C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,1,C,0,1,3,,,,,1,2,1,10,14,23,15,24,22,44,20,11,38,6,33,,,,716,,,,,,,,,,,
'040083C0200,'040083C020003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,2,C,0,1,3,,,,,1,2,1,48,8,30,14,4,1,17,26,32,46,15,34,,,,716,,,,,,,,,,,
'040083C0300,'040083C030003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,3,C,0,1,3,,,,,1,2,1,34,7,18,23,10,7,37,10,26,45,6,25,,,,716,,,,,,,,,,,
'040083C0400,'040083C040003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,4,C,0,1,3,,,,,1,2,1,1,31,8,9,42,13,45,42,44,19,3,36,,,,716,,,,,,,,,,,
'040083C0500,'040083C050003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,5,C,0,1,3,,,,,1,2,1,17,12,44,49,49,37,45,19,15,32,43,29,,,,716,,,,,,,,,,,
'040083C0600,'040083C060003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0083,6,C,0,1,3,,,,,1,2,1,28,24,27,25,7,7,3,10,10,21,30,5,,,,715,,,,,,,,,,,
'040084B0100,'040084B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0084,1,B,0,1,3,,,,,1,2,1,33,20,28,40,6,8,24,18,45,31,19,45,,,,463,,,,,,,,,,,
'040084C0100,'040084C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0084,1,C,0,1,3,,,,,1,2,1,40,41,3,11,13,25,2,36,24,18,19,8,,,,463,,,,,,,,,,,
'040085B0100,'040085B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0085,1,B,0,1,3,,,,,1,2,1,4,11,31,23,3,23,7,29,4,20,31,13,,,,562,,,,,,,,,,,
'040085C0100,'040085C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0085,1,C,0,1,3,,,,,1,2,1,45,48,42,17,37,8,49,43,29,28,29,36,,,,562,,,,,,,,,,,
'040086B0100,'040086B010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0086,1,B,0,1,3,,,,,1,2,1,14,49,35,18,43,43,40,46,15,21,23,8,,,,536,,,,,,,,,,,
'040086C0100,'040086C010003,'04,CAMPECHE,'004,004. SAN FRANCISCO DE CAMPECHE,'0086,1,C,0,1,3,,,,,1,2,1,8,16,25,39,3,5,38,35,47,25,33,5,,,,536,,,,,,,,,,,
'040087B0100,'040087B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0087,1,B,0,1,3,,,,,1,2,1,2,27,34,35,20,12,41,16,1,34,27,42,,,,466,,,,,,,,,,,
'040087C0100,'040087C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0087,1,C,0,1,3,,,,,1,2,1,33,41,39,21,9,38,8,33,41,36,48,19,,,,465,,,,,,,,,,,
'040088B0100,'040088B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0088,1,B,0,1,3,,,,,1,2,1,47,11,12,16,49,37,2,22,26,13,25,16,,,,630,,,,,,,,,,,
'040089B0100,'040089B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0089,1,B,0,1,3,,,,,1,2,1,1,36,18,5,45,17,37,31,30,3,6,40,,,,496,,,,,,,,,,,
'040089C0100,'040089C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0089,1,C,0,1,3,,,,,1,2,1,45,13,8,13,5,28,30,17,17,9,48,32,,,,496,,,,,,,,,,,
'040090B0100,'040090B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0090,1,B,0,1,3,,,,,1,2,1,45,47,17,28,30,15,5,12,29,28,1,29,,,,605,,,,,,,,,,,
'040090C0100,'040090C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0090,1,C,0,1,3,,,,,1,2,1,37,20,43,7,5,2,19,27,16,48,13,13,,,,605,,,,,,,,,,,
'040090C0200,'040090C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0090,2,C,0,1,3,,,,,1,2,1,13,19,42,36,11,10,31,40,22,17,32,7,,,,604,,,,,,,,,,,
'040091B0100,'040091B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0091,1,B,0,1,3,,,,,1,2,1,2,11,16,14,10,35,27,8,33,21,25,12,,,,597,,,,,,,,,,,
'040091C0100,'040091C010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0091,1,C,0,1,3,,,,,1,2,1,16,22,7,40,20,2,8,45,36,26,28,29,,,,596,,,,,,,,,,,
'040091C0200,'040091C020003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0091,2,C,0,1,3,,,,,1,2,1,33,25,11,34,41,18,36,38,28,6,18,39,,,,596,,,,,,,,,,,
